"","County","AQI_Weekly_Measurement","week","month","year","City"
"181","Cook",8.25555555555556,30,7,2018,"Chicago"
"182","Cook",11.6482954545455,31,7,2018,"Chicago"
"183","Cook",10.7486187845304,32,8,2018,"Chicago"
"184","Cook",15.2495677233429,33,8,2018,"Chicago"
"185","Cook",14.3281138790036,34,8,2018,"Chicago"
"186","Cook",7.69473684210526,35,9,2018,"Chicago"
"187","Cook",8.89197860962567,37,9,2018,"Chicago"
"188","Cook",7.56649746192893,38,9,2018,"Chicago"
"189","Cook",4.95953757225434,39,9,2018,"Chicago"
"190","Cook",4.48918918918919,40,10,2018,"Chicago"
"191","Cook",7.75608465608466,41,10,2018,"Chicago"
"192","Cook",4.58440860215054,42,10,2018,"Chicago"
"193","Cook",7.88888888888889,43,10,2018,"Chicago"
"194","Cook",7.1328125,44,10,2018,"Chicago"
"195","Cook",6.58524590163934,45,11,2018,"Chicago"
"196","Cook",10.0926640926641,46,11,2018,"Chicago"
"197","Cook",11.2950724637681,47,11,2018,"Chicago"
"198","Cook",13.8546623794212,48,11,2018,"Chicago"
"199","Cook",10.5644886363636,49,12,2018,"Chicago"
"200","Cook",21.2019178082192,50,12,2018,"Chicago"
"201","Cook",11.928611898017,51,12,2018,"Chicago"
"202","Cook",12.7801136363636,52,12,2018,"Chicago"
"203","Cook",8.22664359861592,11,3,2018,"Chicago"
"204","Cook",8.64367816091954,19,5,2018,"Chicago"
"205","Cook",11.6201729106628,21,5,2018,"Chicago"
"206","Cook",4.77065217391304,36,9,2018,"Chicago"
"207","Cook",9.87962962962963,53,12,2018,"Chicago"
