,policy_area,dataset,variable,year,tract,tract_number,neighborhood,geoid,location,row_id,date,count
1195,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4052.03, Los Angeles County, California",405203,Baldwin Park,1400000US06037405203,"(34.076437, -117.956923)",Drinking_Water_Contaminants_2017_1400000US06037405203,2017-01-01T00:00:00.000,842.1675064999999
1196,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4053.01, Los Angeles County, California",405301,Vincent,1400000US06037405301,"(34.0876105, -117.9415245)",Drinking_Water_Contaminants_2017_1400000US06037405301,2017-01-01T00:00:00.000,739.9806259
1197,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4053.02, Los Angeles County, California",405302,West Covina,1400000US06037405302,"(34.0767645, -117.946434)",Drinking_Water_Contaminants_2017_1400000US06037405302,2017-01-01T00:00:00.000,823.1044121
1198,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4054, Los Angeles County, California",405400,Vincent,1400000US06037405400,"(34.09288, -117.9336065)",Drinking_Water_Contaminants_2017_1400000US06037405400,2017-01-01T00:00:00.000,689.9368674
1199,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4055, Los Angeles County, California",405500,West Covina,1400000US06037405500,"(34.0794265, -117.928137)",Drinking_Water_Contaminants_2017_1400000US06037405500,2017-01-01T00:00:00.000,458.0217751
1200,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4056, Los Angeles County, California",405600,West Covina,1400000US06037405600,"(34.080479, -117.9164905)",Drinking_Water_Contaminants_2017_1400000US06037405600,2017-01-01T00:00:00.000,813.8173860000001
1201,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4057.01, Los Angeles County, California",405701,Vincent,1400000US06037405701,"(34.0930845, -117.9209895)",Drinking_Water_Contaminants_2017_1400000US06037405701,2017-01-01T00:00:00.000,442.8846767
1202,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4057.02, Los Angeles County, California",405702,Covina,1400000US06037405702,"(34.092311, -117.9121105)",Drinking_Water_Contaminants_2017_1400000US06037405702,2017-01-01T00:00:00.000,778.124774
1203,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4058, Los Angeles County, California",405800,Covina,1400000US06037405800,"(34.103307, -117.9121645)",Drinking_Water_Contaminants_2017_1400000US06037405800,2017-01-01T00:00:00.000,442.8846767
1204,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4059, Los Angeles County, California",405900,Covina,1400000US06037405900,"(34.103067, -117.8901905)",Drinking_Water_Contaminants_2017_1400000US06037405900,2017-01-01T00:00:00.000,534.4346157
1205,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4060, Los Angeles County, California",406000,Covina,1400000US06037406000,"(34.08987, -117.8989325)",Drinking_Water_Contaminants_2017_1400000US06037406000,2017-01-01T00:00:00.000,585.0670503
1206,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4061.01, Los Angeles County, California",406101,Covina,1400000US06037406101,"(34.090927, -117.8901515)",Drinking_Water_Contaminants_2017_1400000US06037406101,2017-01-01T00:00:00.000,355.8894245
1207,Environment,Water Quality,Drinking Water Contaminants,2017,"Census Tract 4061.02, Los Angeles County, California",406102,Covina,1400000US06037406102,"(34.080762, -117.8901315)",Drinking_Water_Contaminants_2017_1400000US06037406102,2017-01-01T00:00:00.000,355.8894245
