"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","DAPR","MDPR","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WDF2","WDF5","WSF2","WSF5"
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-03-23",,,,,"0.00","0.0","2.5",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-03-24",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-03-25",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-03-26",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-03-27",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-03-28",,,,,"0.01",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-03-29",,,,,"0.08",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-03-30",,,,,"0.00",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-03-31",,,,,"0.08",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-01",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-02",,,,,"0.02","0.1","0.1",,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-03",,,,,"0.23",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-04",,,,,"0.13",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-05",,,,,"0.00",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-06",,,,,"0.03",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-07",,,,,"0.01",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-08",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-09",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-10",,,,,"0.01","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-11",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-12",,,,,"0.00",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-13",,,,,"0.00",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-14",,,,,"0.00",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-15",,,,,"0.00",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-16",,,,,"0.90",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-17",,,,,"1.85",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-18",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-19",,,,,"0.00",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-20",,,,,"0.01","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-21",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-22",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-23",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-24",,,,,"0.00","0.0",,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-25",,,,,"0.27",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-26",,,,,"0.04",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-27",,,,,"0.00",,,,,,,,,,
"US1PAPH0002","ROCKLEDGE 1.3 SE, PA US","40.06771","-75.074773","46.6","2018-04-28",,,,,"0.21",,,,,,,,,,
