"","week","month","year","Weather_PRCP","DLY_TRK_VMT","DLY_VMT","WKDY_TRK_CUR","CUR_AADT","ADTT_CUR","city","county"
"98",25,6,2019,NA,89.125,3600.25,138.875,5090.125,108.375,"Hazleton","Luzerne"
"99",25,6,2020,NA,106.238095238095,2617.97619047619,303.166666666667,4884.71428571429,236.785714285714,"Hazleton","Luzerne"
"100",25,6,2021,NA,74.5588235294118,1895.38235294118,194.647058823529,3192.76470588235,152.147058823529,"Hazleton","Luzerne"
"101",26,6,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"102",26,6,2019,NA,99.1538461538462,3431,259.692307692308,6588.30769230769,202.846153846154,"Hazleton","Luzerne"
"103",26,6,2020,NA,382.444444444444,5965.55555555556,281.888888888889,4411.61111111111,220.111111111111,"Hazleton","Luzerne"
"104",26,6,2021,NA,66.2857142857143,2177.14285714286,143.6,4271.62857142857,112.2,"Hazleton","Luzerne"
"105",27,7,2018,0.114354838709677,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"106",27,7,2019,NA,27,1329,69.3333333333333,2713,54.3333333333333,"Hazleton","Luzerne"
"107",27,7,2020,NA,206.818181818182,6212.04545454545,273,7245.5,213.409090909091,"Hazleton","Luzerne"
"108",27,7,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"109",28,7,2018,0.0903448275862069,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"110",28,7,2019,NA,123.047619047619,3121.04761904762,279.52380952381,5511.28571428571,218.333333333333,"Hazleton","Luzerne"
"111",28,7,2020,NA,339.944444444444,6945.27777777778,627.722222222222,8786.11111111111,490.444444444444,"Hazleton","Luzerne"
"112",28,7,2021,NA,80.5,1257.375,349.25,3526.5,272.875,"Hazleton","Luzerne"
"113",29,7,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"114",29,7,2019,0.339423076923077,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"115",29,7,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"116",29,7,2021,NA,235.444444444444,4565.55555555556,336.777777777778,4988.55555555556,263.111111111111,"Hazleton","Luzerne"
"117",30,7,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"118",30,7,2019,0.244509803921569,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"119",30,7,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"120",30,7,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"121",31,7,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"122",31,7,2019,NA,286.266666666667,4414.36666666667,279.766666666667,3613.7,218.633333333333,"Hazleton","Luzerne"
"123",31,7,2020,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"124",31,7,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"125",32,8,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"126",32,8,2019,0.305192307692308,251,2505,99,768,77,"Hazleton","Luzerne"
"127",32,8,2020,NA,116,2279,274,4205,214,"Hazleton","Luzerne"
"128",32,8,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"129",33,8,2018,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"130",33,8,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"131",33,8,2020,NA,123.857142857143,1015.85714285714,468.714285714286,1757.85714285714,366.142857142857,"Hazleton","Luzerne"
"132",33,8,2021,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"133",34,8,2018,0.06171875,46,766,38,495,30,"Hazleton","Luzerne"
"134",34,8,2019,NA,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
"135",34,8,2020,NA,142.25,2051.25,308.25,3159.25,240.875,"Hazleton","Luzerne"
"136",34,8,2021,NA,2117.50909090909,6458.96363636364,412.4,1891.63636363636,322.218181818182,"Hazleton","Luzerne"
"137",35,8,2018,NA,36,376,25.5,197,20,"Hazleton","Luzerne"
"138",35,8,2019,0.0783636363636364,NA,NA,NA,NA,NA,"Hazleton","Luzerne"
