,AQI_month,AQI_weekly,AQI_year,Longitude,Latitude,City,County
11,Mar,9.119327731092437,2021,34.1365,-117.92391,Los Angeles,Los Angeles
12,Apr,11.905925925925924,2021,34.1365,-117.92391,Los Angeles,Los Angeles
13,Apr,10.868882978723404,2021,34.1365,-117.92391,Los Angeles,Los Angeles
14,Apr,11.827150537634408,2021,34.1365,-117.92391,Los Angeles,Los Angeles
15,Apr,9.589051094890511,2021,34.1365,-117.92391,Los Angeles,Los Angeles
16,May,9.015236051502146,2021,34.1365,-117.92391,Los Angeles,Los Angeles
17,May,11.640992647058823,2021,34.1365,-117.92391,Los Angeles,Los Angeles
18,May,10.653241650294696,2021,34.1365,-117.92391,Los Angeles,Los Angeles
19,May,10.10566801619433,2021,34.1365,-117.92391,Los Angeles,Los Angeles
20,Jun,10.162683823529411,2021,34.1365,-117.92391,Los Angeles,Los Angeles
21,Jun,8.864781021897809,2021,34.1365,-117.92391,Los Angeles,Los Angeles
22,Jun,7.831910946196659,2021,34.1365,-117.92391,Los Angeles,Los Angeles
23,Jun,11.871243042671615,2021,34.1365,-117.92391,Los Angeles,Los Angeles
24,Jul,7.653090909090909,2021,34.1365,-117.92391,Los Angeles,Los Angeles
25,Jul,9.538786764705883,2021,34.1365,-117.92391,Los Angeles,Los Angeles
26,Jul,12.267343173431733,2021,34.1365,-117.92391,Los Angeles,Los Angeles
27,Jul,9.561100917431194,2021,34.1365,-117.92391,Los Angeles,Los Angeles
28,Aug,12.402079395085066,2021,34.1365,-117.92391,Los Angeles,Los Angeles
29,Aug,9.583088235294117,2021,34.1365,-117.92391,Los Angeles,Los Angeles
30,Aug,11.017100371747212,2021,34.1365,-117.92391,Los Angeles,Los Angeles
31,Aug,11.371586715867158,2021,34.1365,-117.92391,Los Angeles,Los Angeles
32,Sept,12.178492647058825,2021,34.1365,-117.92391,Los Angeles,Los Angeles
33,Sept,15.56165137614679,2021,34.1365,-117.92391,Los Angeles,Los Angeles
34,Sept,15.162055335968379,2021,34.1365,-117.92391,Los Angeles,Los Angeles
35,Sept,12.850609756097562,2021,34.1365,-117.92391,Los Angeles,Los Angeles
36,Oct,12.08375912408759,2021,34.1365,-117.92391,Los Angeles,Los Angeles
37,Feb,14.495571955719559,2021,34.1365,-117.92391,Los Angeles,Los Angeles
38,Feb,10.49698795180723,2021,34.1365,-117.92391,Los Angeles,Los Angeles
39,,29.46798245614035,2021,34.1365,-117.92391,Los Angeles,Los Angeles
