X,Y,recordnum,takenby,comments,setdate,setyear,mcd,route,road,cntdir,fromlmt,tolmt,type,latitude,longitude,factor,axle,outdir,indir,sidewalk,aadp,co_name,mun_name,id
-75.15243415,39.9487477100001,149155,bn,,2019/07/10 00:00:00+00,2019,4210160103,,7th st,north,sansom st,chestnut st,Pedestrian,39.94874771,-75.15243415,,,S,N,east,1784,Philadelphia,Central,72726
-75.1525505,39.9486986100001,149156,bn,,2019/07/10 00:00:00+00,2019,4210160103,,7th st,north,sansom st,chestnut st,Pedestrian,39.94869861,-75.1525505,,,N,S,west,1449,Philadelphia,Central,72727
-75.10197519,39.9837233600001,149157,bn,,2019/06/29 00:00:00+00,2019,4210160109,,allegheny ave,both,salmon st,tilton st,Pedestrian,39.98372336,-75.10197519,,,N,S,east,365,Philadelphia,River Wards,72728
-75.10219818,39.98366373,149158,bn,,2019/06/29 00:00:00+00,2019,4210160109,,allegheny ave,both,salmon st,tilton st,Pedestrian,39.98366373,-75.10219818,,,S,N,west,146,Philadelphia,River Wards,72735
-75.0530123,40.0652454500001,149159,bn,,2019/06/29 00:00:00+00,2019,4210160118,,castor ave,east,emerson st,hoffnagle st,Pedestrian,40.06524545,-75.0530123,,,S,N,north,241,Philadelphia,Central Northeast,72736
-75.0527947799999,40.0651287200001,149160,bn,,2019/06/29 00:00:00+00,2019,4210160118,,castor ave,west,emerson st,hoffnagle st,Pedestrian,40.06512872,-75.05279478,,,N,S,south,94,Philadelphia,Central Northeast,72742
-75.0867449899999,40.06875483,149161,bn,,2019/06/29 00:00:00+00,2019,4210160118,,central ave,both,faunce st,hasbrook ave,Pedestrian,40.06875483,-75.08674499,,,S,N,east,82,Philadelphia,Central Northeast,72743
-75.154349,39.95111,107721,jh,,2014/01/29 00:00:00+00,2014,4210160103,,market st,,9th st,8th st,Pedestrian,39.95111,-75.154349,1.106,1.0622,west,east,S,3826,Philadelphia,Central,73451
-75.2342010099999,39.97975453,149152,vg,,2020/11/20 00:00:00+00,2020,4210160111,,56th st,both,w oxford st,us 30 lancastor ave,Pedestrian,39.97975453,-75.23420101,,,S,N,west,194,Philadelphia,West,73608
-75.1397550899999,40.05344354,149153,bn,,2019/10/08 00:00:00+00,2019,4210160115,,66th ave,east,n park ave,13th st,Pedestrian,40.05344354,-75.13975509,,,W,E,north,195,Philadelphia,Upper North,73609
-75.20612797,40.0295530400001,149169,bn,,2019/06/29 00:00:00+00,2019,4210160108,,henry ave,both,wendover st,jamestown st,Pedestrian,40.02955304,-75.20612797,,,S,N,east,158,Philadelphia,Lower Northwest,74027
-75.20652962,40.0297493800001,149170,bn,,2019/06/29 00:00:00+00,2019,4210160108,,henry ave,both,wendover st,jamestown st,Pedestrian,40.02974938,-75.20652962,,,N,S,west,293,Philadelphia,Lower Northwest,74028
-75.08692583,40.0688167600001,149162,bn,,2019/06/29 00:00:00+00,2019,4210160118,,central ave,both,faunce st,hasbrook ave,Pedestrian,40.06881676,-75.08692583,,,N,S,west,37,Philadelphia,Central Northeast,74533
-75.13394697,39.98508301,149163,bn,,2019/07/12 00:00:00+00,2019,4210160107,,dauphin st,east,mascher st,howard st,Pedestrian,39.98508301,-75.13394697,,,W,E,north,304,Philadelphia,Lower North,74663
-75.1334796199999,39.98494319,149164,bn,,2019/07/12 00:00:00+00,2019,4210160107,,dauphin st,east,mascher st,howard st,Pedestrian,39.98494319,-75.13347962,,,E,W,south,536,Philadelphia,Lower North,74664
-74.98605535,40.06297026,149165,bn,,2019/07/10 00:00:00+00,2019,4210160116,,frankford ave,north,carteret dr,morrell ave,Pedestrian,40.06297026,-74.98605535,,,S,N,east,89,Philadelphia,Lower Far Northeast,74666
-74.98618356,40.06308534,149166,bn,,2019/07/10 00:00:00+00,2019,4210160116,,frankford ave,south,carteret dr,morrell ave,Pedestrian,40.06308534,-74.98618356,,,S,N,west,60,Philadelphia,Lower Far Northeast,74667
-75.21730336,39.9629159400001,149167,vg,,2020/11/20 00:00:00+00,2020,4210160111,,haverford ave,both,49th st,48th st,Pedestrian,39.96291594,-75.21730336,,,E,W,north,79,Philadelphia,West,74668
-75.21749812,39.9628421400001,149168,vg,,2020/11/20 00:00:00+00,2020,4210160111,,haverford ave,both,49th st,48th st,Pedestrian,39.96284214,-75.21749812,,,W,E,south,127,Philadelphia,West,74669
-75.2343559999999,39.968244,101562,jh,,2013/06/05 00:00:00+00,2013,4210160111,,haverford ave,,58th st,57th st,Pedestrian,39.968244,-75.234356,0.93,1.0622,east,west,north,217,Philadelphia,West,75348
-75.234498,39.9680920000001,101563,jh,,2013/06/06 00:00:00+00,2013,4210160111,,haverford ave,,58th st,57th st,Pedestrian,39.968092,-75.234498,0.93,1.0622,west,east,south,295,Philadelphia,West,75349
-74.74344,40.216979,111330,jh,,2014/05/28 00:00:00+00,2014,3402174000,606,hamilton ave,,n anderson st,cr 626 chambers st,Pedestrian,40.216979,-74.74344,0.93,1.0622,east,west,N,2056,Mercer,Trenton City,75551
-74.765908,40.2207480000001,111315,jh,,2014/05/06 00:00:00+00,2014,3402174000,206,n warren st,,w state st,e hanover st,Pedestrian,40.220748,-74.765908,0.962,1.0622,south,north,W,481,Mercer,Trenton City,75651
-74.7589829999999,40.2206110000001,111323,jh,,2014/05/13 00:00:00+00,2014,3402174000,,e state st,,n stockton st,w canal st / armory dr,Pedestrian,40.220611,-74.758983,0.962,1.0622,west,east,S,1153,Mercer,Trenton City,75668
-74.7652669999999,40.2201910000001,111319,jh,,2014/05/06 00:00:00+00,2014,3402174000,,e state st,,us 206s n warren st,us 206n n broad st,Pedestrian,40.220191,-74.765267,0.962,1.0622,east,west,S,2014,Mercer,Trenton City,75672
-74.764101,40.2205880000001,111311,jh,,2014/05/06 00:00:00+00,2014,3402174000,206,n broad st,,e state st,e hanover st,Pedestrian,40.220588,-74.764101,0.962,1.0622,north,south,E,6713,Mercer,Trenton City,75770
-74.774821,40.2227,111297,jh,,2014/05/06 00:00:00+00,2014,3402174000,653,calhoun st,,w state st,capitol st,Pedestrian,40.2227,-74.774821,0.962,1.0622,north,south,W,197,Mercer,Trenton City,76066
-75.12431838,39.98543303,149171,bn,,2019/07/12 00:00:00+00,2019,4210160109,,huntingdon st,both,kern st,coral st,Pedestrian,39.98543303,-75.12431838,,,N,S,east,486,Philadelphia,River Wards,76524
-75.22149824,40.03226426,149173,bn,,2019/06/29 00:00:00+00,2019,4210160108,,manayunk ave,both,dupont st,krams ave,Pedestrian,40.03226426,-75.22149824,,,N,S,east,62,Philadelphia,Lower Northwest,76852
-75.115129,39.9543390000001,119343,jh,,2015/04/22 00:00:00+00,2015,3400710000,,erie st,,6th st,7th st,Pedestrian,39.954339,-75.115129,1.012,1.0622,E,W,N,90,Camden,Camden City,86207
-75.152439,39.941812,128732,jh,,2016/08/13 00:00:00+00,2016,4210160103,,6th st,,bainbridge st,south st,Pedestrian,39.941812,-75.152439,,,N,S,west,494,Philadelphia,Central,92881
-75.150862,39.941606,128664,jh,,2016/08/13 00:00:00+00,2016,4210160103,,5th st,,bainbridge st,south st,Pedestrian,39.941606,-75.150862,,,S,N,west,1520,Philadelphia,Central,93652
-75.191964,39.950001,129642,jh,,2016/06/23 00:00:00+00,2016,4210160110,,33rd st,,convention ave,spruce st,Pedestrian,39.950001,-75.191964,0.93,1.0622,N,S,E,1388,Philadelphia,University - Southwest,96693
-75.337554,39.9718070000001,131720,jh,,2015/11/15 00:00:00+00,2015,4204533144,,darby creek trail,both,raymond dr access,hilltop rd,Pedestrian,39.971807,-75.337554,,,N,S,,168,Delaware,Haverford Township,96973
-75.0126279999999,39.684916,135754,jh,,2015/08/15 00:00:00+00,2015,3401547250,,monroe twp trail,both,n tuckahoe rd,clayton rd,Pedestrian,39.684916,-75.012628,,,W,E,,117,Gloucester,Monroe Township,98900
-75.1246445199999,39.9856179700001,149172,bn,,2019/07/12 00:00:00+00,2019,4210160109,,huntingdon st,both,kern st,coral st,Pedestrian,39.98561797,-75.12464452,,,S,N,west,546,Philadelphia,River Wards,76541
-74.772456,40.225112,111301,jh,,2014/05/06 00:00:00+00,2014,3402174000,653,calhoun st,,spring st,summer st,Pedestrian,40.225112,-74.772456,0.962,1.0622,south,north,W,389,Mercer,Trenton City,76602
-74.7746309999999,40.222632,111296,jh,,2014/05/06 00:00:00+00,2014,3402174000,653,calhoun st,,w state st,capitol st,Pedestrian,40.222632,-74.774631,0.962,1.0622,south,north,E,195,Mercer,Trenton City,76796
-74.772305,40.225063,111300,jh,,2014/05/28 00:00:00+00,2014,3402174000,653,calhoun st,,spring st,summer st,Pedestrian,40.225063,-74.772305,0.93,1.0622,south,north,E,214,Mercer,Trenton City,76799
-74.761491,40.2236130000001,111304,jh,,2014/05/13 00:00:00+00,2014,3402174000,,perry st,,montgomery st,n stockton st,Pedestrian,40.223613,-74.761491,0.962,1.0622,east,west,N,243,Mercer,Trenton City,76801
-74.761445,40.223482,111305,jh,,2014/05/13 00:00:00+00,2014,3402174000,,perry st,,montgomery st,n stockton st,Pedestrian,40.223482,-74.761445,0.962,1.0622,east,west,S,500,Mercer,Trenton City,76802
-74.759216,40.2131430000001,111308,jh,,2014/05/13 00:00:00+00,2014,3402174000,206,s broad st,,cr 606 hamilton ave,ferry st,Pedestrian,40.213143,-74.759216,0.962,1.0622,east,west,E,666,Mercer,Trenton City,76803
